Rank,Tiktoker name,Tiktok name,followers,views(avg),likes(avg.),comments(avg.),shares(avg.),Month
943,frnzlynfby,Feby,4.4M,1.2M,222.5K,887,825,December
944,lexihensler,Lexi Hensler,9.6M,1.7M,230.6K,399,717,December
945,colinjay_,colin eckardt,1.6M,952.8K,182.9K,1.5K,1K,December
946,eravfx,ERAVFX,1.8M,2.4M,181.2K,805,199,December
947,jailyneojeda,Jailyne Ojeda,17.3M,1.7M,227.7K,740,387,December
948,ashraf_alalmei,"ðŸ‡ªðŸ‡¬âš¡""ALALMEI""âš¡ðŸ‡µðŸ‡¸",3.5M,1.9M,136.5K,528,1.2K,December
949,youngji_02,ì´ì˜ì§€,2.2M,1.4M,293.3K,820,240,December
950,joelbergs,JoelBergs,11.6M,1.7M,242.6K,499,554,December
951,axxdermusic,Axder,5.3M,531.9K,68.5K,1.8K,10.1K,December
952,chevy2funnyy,Chevy2funnyy,2.1M,917.7K,181K,796,1.8K,December
953,nilewilsonator,Wilsonator,1.2M,2.4M,194.1K,448,464,December
954,farrukoofficialpr,FARRU,3.7M,1.4M,96.8K,346,2.8K,December
955,keirariff,Keira,5.6M,1.4M,250.3K,502,764,December
956,jimmywells96,Jimmy Wells,2.2M,1.1M,133.8K,832,2.1K,December
957,knzymyln__,Kienzyí‚¤ì—”ì§€ë¯¸ì—”âœ§ðŸ‡°ðŸ‡·,8.4M,2.8M,110.9K,488,885,December
958,flickerspark_,FlickerSpark,1.8M,1.1M,245.1K,830,750,December
959,healthy_mandy,healthy_mandy,587.8K,2.2M,150.2K,861,424,December
960,robertfrank615,Robert Frank,1.2M,778.4K,78.7K,440,6.5K,December
961,maxthemeatguy,Max The Meat Guy,5.3M,1.2M,178.7K,504,1.5K,December
962,ailaloures,aila loures,3.9M,845.5K,165.1K,1.4K,1.6K,December
963,ogikdp,Zona Ogik | YT MELLO PROJECT,5M,1.6M,227.7K,755,400,December
964,leahh,leah,6.3M,1.7M,167.6K,785,737,December
965,karlwolfs,Karl Wolf,414.8K,953.6K,75.4K,2.5K,3.3K,December
966,natalieamayaa,Natalie Amaya,96.7K,1M,116.2K,837,2.8K,December
967,banhbaoxinchao,BÃ¡nh Bao Xin ChÃ o,2.6M,2.6M,183.6K,623,256,December
968,pocaeve,EVE,138.7K,2.6M,50.9K,1.8K,1.3K,December
969,thruhikers,Renee-and-Tim,2.1M,2.3M,250.5K,289,452,December
970,thenursery_nurse,Charlotte,1.8M,1.5M,288.7K,768,195,December
971,i_am_young22,ëƒ¥ë‡½ë…•ëƒ¥ðŸ‘»,3.1M,1.1M,147.2K,739,1.8K,December
972,itsmenicksmithy2,Nick Smithyman ðŸ˜Ž,13.6M,1.5M,179.1K,757,789,December
973,slamminsammyswank,Sam Swank,1.6M,834.2K,165.2K,482,2.5K,December
974,mistermainer,mistermainer,16.4M,1.2M,157.6K,1K,1.1K,December
975,nelysa_norazlan,Nelysa Norazlan,3M,1.5M,144.4K,760,1.2K,December
976,hunterprosper,Hunter Prosper,5.5M,1.6M,172.6K,437,1.1K,December
977,mohaimen.alaa,Ù…Ù‡ÙŠÙ…Ù† Ø¹Ù„Ø§Ø¡,4.7M,1.4M,143.8K,1.3K,801,December
978,mei_asami_,æµ…è¦‹ã‚ã„,1.5M,1.3M,176.8K,1.1K,768,December
979,rreygrande,rey,617.8K,700.2K,147.7K,1.9K,2.1K,December
980,pratiii9,pratii,505.5K,6.4M,39.3K,538,1.1K,December
981,leesiyoung38,ì´ì‹œì˜,17.6M,2M,143.3K,952,472,December
982,jmartineze_,josi,23.7M,1.8M,235K,651,314,December
983,los_escachaitos,Los escachaitos,5.3M,2.3M,120.9K,692,772,December
984,pedrinhuol,pedrinhuol,6.3M,1.9M,178.2K,448,750,December
985,nouraridaofficial,Nour Arida,3.3M,1.9M,108.2K,733,1.2K,December
986,karolsevillaokay,karolsevillaofc,26.2M,1.5M,223.2K,913,298,December
987,coldcutz20,CHRIS COLDITZ,1.4M,4.4M,100.3K,494,424,December
988,mclya_,Lya,3.9M,2.2M,175.5K,713,336,December
989,ddlovato,Demi Lovato,4.5M,1.4M,130.8K,1.7K,573,December
990,jlo,JLO,15.4M,1.5M,118.9K,1.8K,417,December
991,esta.pramanita,Esta Pramanita,2.4M,2.3M,222.7K,390,392,December
992,ladydianka,LADY BUNNYðŸ°,9.2M,1.2M,144.7K,1.3K,899,December
993,ediqueixinho,Edivando Junior,4.3M,1.7M,185.2K,754,488,December
994,liamcarps,Liam Carpenter,1.5M,1.5M,136.6K,697,1.3K,December
995,giovannibonaccinii_,G I O V A N N IðŸ¦‹,1M,1M,171.6K,983,1.3K,December
996,jiembasands,Jiemba Sands,4.9M,3.4M,247.4K,207,264,December
997,crissa_ace,Crissa Jackson,14.9M,1.6M,141.7K,1.2K,580,December
998,ichadude,Alyssa & Dude,468.8K,2.3M,85.5K,997,1K,December
999,kanebrown,Kane Brown,5.2M,1.7M,96.7K,1.3K,1.2K,December
1000,nnennab_,Nnenna B | NYC Creator & Actor,149.1K,606.2K,79.5K,2.1K,6.1K,December
