Rank,Tiktoker name,Tiktok name,followers,views(avg),likes(avg.),comments(avg.),shares(avg.),Month
217,maxtaylorlifts,Max Taylor,9.4M,3.2M,440.8K,2K,1.6K,December
218,oironyoliveira,Kbuloso ðŸ˜ˆ,7.1M,1.5M,132K,412,25K,December
219,marko,marko,11.2M,2.3M,275.3K,3.4K,4.6K,December
220,dinosonso_ofc,DinoSonso,8.8M,2.5M,194.1K,4.4K,5.9K,December
221,firmanskd,ð™†ð™Šð˜¾ð˜¼ð™‰,3.1M,2.2M,174.6K,632,12.3K,December
222,oficialrc3,Roberto Carlos,3.6M,5.1M,397K,901,1.5K,December
223,danythegaggio,Daniele Cabras,3.5M,2.4M,290.7K,1.6K,5.6K,December
224,tina_042,ð’¯ð’¾ð“ƒð’¶,1.3M,2.4M,504.9K,2.1K,1.9K,December
225,pedroallann,Pedroca,2.9M,2.3M,422.5K,2.5K,2.4K,December
226,piffpeterson,piff peterson,3.9M,3.3M,379.5K,1.5K,2.3K,December
227,jongmineyo,ì¢…ë¯¼ì˜¤ë¹   Jongmin oppa,15.2M,4.3M,275.3K,1.8K,2.2K,December
228,jumpersjump,Jumpers Jump Podcast,8.4M,3.7M,351.9K,2.2K,1.6K,December
229,piitien1603,pi tiÃªn â„¢,1.7M,3.8M,288.3K,2.2K,2.1K,December
230,gehu.gl,Gerson Garcia,573.3K,2M,129K,1.9K,16.5K,December
231,mesitaaa,Mesita,486.9K,3.2M,550.7K,947,1.7K,December
232,szivsz,Ziva Magnolya,2.1M,4.3M,479.7K,1.4K,857,December
233,dilanjaniyar,Emang namanya Dilan,2.2M,4.1M,393.6K,1.8K,1.2K,December
234,fernandamotafarhat,Fe,7.3M,3.3M,349.3K,733,3.3K,December
235,stickyboy69,stickyboy69,9.2M,1.3M,298.7K,9.1K,2.8K,December
236,juliagisella,juliagisella,13.5M,3M,377.1K,2.4K,1.6K,December
237,mieayamthebstt,UnaaðŸœ,17M,3.1M,339.9K,2.6K,1.8K,December
238,frankielapenna,Frankie LaPenna,5.7M,6.8M,227.9K,1.2K,1.8K,December
239,jdpantoja,JD Pantoja,31.9M,2.5M,451.1K,3.3K,784,December
240,davidcstt_,David Costa,6.2M,3M,514K,1.7K,1.2K,December
241,badboyrema,Rema,2.7M,3.1M,421K,2.6K,894,December
242,simxmargo,Seamoan {1M+},1M,2.4M,493.1K,2.1K,1.7K,December
243,elainebabey,ELAINEBABEY,142.8K,1.7M,280.4K,3.6K,5.9K,December
244,chinguamiga,Chingu Amiga,20.7M,4.2M,566.2K,1.5K,393,December
245,siscakohl,Sisca Kohl,13M,4.4M,369.1K,1.9K,716,December
246,santiperezvivas,Santi Perez,3.5M,2.5M,450.9K,1.4K,2.5K,December
247,jessnolimit999,Jess No Limit,6.9M,4.1M,379.5K,2.2K,536,December
248,b.blek,b.blek,3.3M,3.1M,244.6K,2.2K,3.5K,December
249,jacksepticeye,Jacksepticeye,5M,2.3M,476K,2.7K,1.1K,December
250,saramohannad_,Sara,9M,3.6M,220.7K,3.7K,1.6K,December
251,andrewrousso,Andrew Rousso,2.8M,1.1M,245.8K,2K,13.4K,December
252,murphslife,Aaron Murphy,6M,1.9M,250K,4.7K,3.9K,December
253,haileesteinfeld,Hailee Steinfeld,3.6M,1.6M,273.9K,7K,2.2K,December
254,abir.sag,Abir el saghir,18.9M,3.2M,236K,4.2K,1.1K,December
255,paytonking,Payton King,5.3M,1.7M,388.2K,2.7K,3.4K,December
256,winniedom,Winnie Dominguez ðŸŒ»,499.7K,1.8M,305.5K,2K,5.2K,December
257,lukas.urkijo,Lukas urkijo,2M,2M,422K,3.4K,1.3K,December
258,nia.ramadhani.bakrie,Nia Ramadhani Bakrie,2.1M,4.1M,337.1K,1.6K,1.2K,December
259,fredziownik_art,Franek Bielak,12.9M,6.7M,300.2K,1.6K,340,December
260,fedez,fedez,5.9M,2.6M,381K,1.5K,2.6K,December
261,ser_jay,Hello Itâ€™s me SerJay,5.6M,2M,303.1K,2.1K,4.3K,December
262,ketnipz,Ketnipz,5.3M,1.7M,274.1K,558,7.7K,December
263,cookingwithlynja,Lynja,14.5M,1.9M,193.5K,10K,429,December
264,katiavlogss,KATIAVLOGSðŸ’,15.1M,4.8M,552.9K,571,872,December
265,cbum,Chris Bumstead,3.8M,3M,231.5K,983,4.4K,December
266,recider,Recider,2.2M,2.1M,546.4K,1.1K,2.2K,December
267,moosenyc2,moose,1M,3M,388.1K,1.2K,2K,December
268,linatejeiro8,Lina Tejeiro,4.6M,3.7M,311.7K,1.8K,1.4K,December
269,jakehunterofficial,Jake hunter,3.7M,3.4M,270.3K,2K,2K,December
270,dylan.page,Dylan Page,4.9M,1.9M,278K,4.2K,2.7K,December
271,nurse.johnn,nurse.johnn,3.3M,1.6M,226.7K,1.2K,8.8K,December
272,lilnasx,lil nas x,29.1M,2.6M,371.1K,2.2K,1.5K,December
273,catherineealicia,catheez,2M,3.2M,362.1K,1.8K,1.3K,December
274,aleatoriamente7777,Gabriel Aleatoriamente,2M,1.5M,353.6K,5.1K,1.6K,December
275,isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,2M,1M,225.5K,6.4K,9.4K,December
276,aydas,Aydas,14.9M,4.5M,326.4K,1.8K,558,December
277,anokhinalz,Ðnokhina Liza,39M,4.1M,406.6K,1.8K,294,December
278,bryan_skabeche,Bryan SKabeche,7.2M,4.9M,485.5K,987,486,December
279,wuesilva,Wue Silva,14.3M,3M,305.4K,1.4K,2.5K,December
280,daviddobrik,DAVID DOBRIK,26.4M,3M,423.7K,884,1.9K,December
281,victtoriamedeiros,VicttÃ³ria Medeiros,8.7M,2.8M,337.1K,1.2K,2.5K,December
282,datvilla94,ðŸ”¥Äáº¡t VillaðŸ”¥,7.3M,1.7M,200.7K,6.6K,3.8K,December
283,cody.taurus,Cody Taurus,740.6K,1.3M,155.5K,1.4K,15.3K,December
284,anwar,Anwar Jibawi,13.1M,2.3M,310.7K,2.4K,2.3K,December
285,marlene2995,Marlenebenitez,12M,4M,305.7K,1.4K,1.4K,December
286,jkartsoccer_tiktok,JKartsoccer,1.5M,5.8M,288.9K,813,1.2K,December
287,bellacampox,Bella Campos,786.4K,2.5M,372.4K,2.3K,1.4K,December
288,lionfieldmusic,lionfield,5.9M,2.6M,294.9K,2.9K,1.6K,December
289,andrefernm,AndrÃ© Fernandes,387.3K,888.5K,111.9K,5.7K,28.3K,December
290,mandrake1984real,Giuseppe Mandrake Ninno,1.6M,2.1M,250.4K,1.1K,5.2K,December
291,elena_oki,Elena,1.3M,2M,352.2K,1.5K,3.2K,December
292,prokhozhy,Ð’Ð¸ÐºÑ‚Ð¾Ñ€ ÐŸÐ°Ðº,1.4M,1.8M,161K,1.7K,9.4K,December
293,tangmokoko,à¹à¸•à¸‡à¹‚à¸¡ à¹‚à¸à¹‚à¸à¹‰à¸›à¸±à¹ˆà¸™,1.1M,3.2M,445.7K,707,1.6K,December
294,haileybieber,Hailey Bieber,10.5M,3.3M,398.5K,1.5K,972,December
295,mackenzieziegler,Mackenzie Ziegler,22.4M,4.4M,694.3K,700,369,December
296,canalzezao,ZezÃ£o,7.7M,2M,166.5K,2.2K,7.7K,December
297,francoescamillaofficial,Franco Escamilla,18.3M,3.1M,372.2K,498,2.3K,December
298,agnesmelo_oficial,Agnes Melo,6M,3.7M,410.9K,1.1K,1K,December
299,shenacinnamon,Shenina Cinnamon,598K,6.4M,478.2K,542,499,December
300,inpersa16,Indah permatasari,2.3M,3.9M,295K,1.6K,1.1K,December
301,smtown_official,SMTOWN,2.8M,1.8M,379.6K,2.9K,1.8K,December
302,ive.official,IVE.official,3.6M,1.8M,334.3K,4K,1.3K,December
303,jostyle_17,Jostyle17,1.6M,2.4M,290.4K,1.1K,3.5K,December
304,unnecessaryinventions,Unnecessary Inventions,6M,3.1M,303.1K,2.5K,876,December
